jurisdiction,country_name
fara,AFGHANISTAN
fara,ALBANIA
fara,ALGERIA
fara,ANDORRA
fara,ANGOLA
fara,ANGUILLA
fara,ANTIGUA & BARBUDA
fara,ARGENTINA
fara,ARMENIA
fara,ARUBA
fara,AUSTRALIA
fara,AUSTRIA
fara,AZERBAIJAN
fara,BAHAMAS
fara,BAHRAIN
fara,BANGLADESH
fara,BARBADOS
fara,BELARUS
fara,BELGIUM
fara,BELIZE
fara,BENIN
fara,BERMUDA
fara,BHUTAN
fara,BIAFRA
fara,BOLIVIA
fara,BONAIRE
fara,BOPHUTHATSWANA
fara,BOSNIA & HERZEGOVINA
fara,BOTSWANA
fara,BRAZIL
fara,BRITISH SOLOMON ISLANDS
fara,BRITISH VIRGIN ISLANDS
fara,BRITISH WEST INDIES
fara,BRUNEI
fara,BULGARIA
fara,BURKINA FASO
fara,BURMA
fara,BURUNDI
fara,CABO VERDE
fara,CAMBODIA
fara,CAMEROON
fara,CANADA
fara,CAYMAN ISLANDS
fara,CENTRAL AFRICAN REPUBLIC
fara,CENTRAL AND SOUTHERN LINE ISLANDS
fara,CEYLON (SRI LANKA)
fara,CHAD
fara,CHANNEL ISLANDS
fara,CHILE
fara,CHINA
fara,CISKEI
fara,COLOMBIA
fara,COMORO  ISLANDS
fara,CONGO BRAZZAVILLE
fara,CONGO KINSHASA ZAIRE
fara,"CONGO, DEMOCRATIC REPUBLIC OF THE"
fara,"CONGO, REPUBLIC OF THE"
fara,COOK ISLANDS
fara,COSTA RICA
fara,COTE D'IVOIRE (IVORY COAST)
fara,COTE D'IVOIRE IVORY COAST
fara,CROATIA
fara,CUBA
fara,CURACAO
fara,CYPRUS
fara,CZECH REPUBLIC
fara,CZECHIA
fara,CZECHOSLOVAKIA
fara,DAHOMEY
fara,DENMARK
fara,DJIBOUTI
fara,DOMINICA
fara,DOMINICAN REPUBLIC
fara,ECUADOR
fara,EGYPT
fara,EL SALVADOR
fara,ENGLAND
fara,EQUATORIAL GUINEA
fara,ERITREA
fara,ESTONIA
fara,ETHIOPIA
fara,FIJI
fara,FINLAND
fara,FRANCE
fara,FRENCH POLYNESIA
fara,GABON
fara,"GAMBIA, THE"
fara,GEORGIA
fara,GERMAN DEMOCRATIC REPUBLIC
fara,GERMANY
fara,GERMANY FEDERAL REPUBLIC OF
fara,"GERMANY, FEDERAL REPUBLIC OF"
fara,GHANA
fara,GIBRALTAR
fara,GREAT BRITAIN
fara,GREECE
fara,GREENLAND
fara,GRENADA
fara,GUADELOUPE & MARTINIQUE
fara,GUATEMALA
fara,GUERNSEY
fara,GUINEA
fara,GUINEA-BISSAU
fara,GUYANA
fara,HAITI
fara,HONDURAS
fara,HONG KONG
fara,HUNGARY
fara,ICELAND
fara,INDIA
fara,INDONESIA
fara,INTERNATIONAL
fara,IRAN
fara,IRAQ
fara,IRELAND
fara,ISLE OF MAN
fara,ISRAEL
fara,ITALY
fara,JAMAICA
fara,JAPAN
fara,JORDAN
fara,KAZAKHSTAN
fara,KENYA
fara,KIRIBATI
fara,KOREA DEMOCRATIC PEOPLES REPUBLIC OF
fara,KOREA REPUBLIC OF
fara,KOREA SOUTH
fara,"KOREA, NORTH"
fara,"KOREA, SOUTH"
fara,KOSOVA
fara,KUWAIT
fara,KYRGYZSTAN
fara,LAOS
fara,LATVIA
fara,LEBANON
fara,LESOTHO
fara,LIBERIA
fara,LIBYA
fara,LIECHTENSTEIN
fara,LITHUANIA
fara,LUXEMBOURG
fara,MACAU
fara,MACEDONIA
fara,MADAGASCAR
fara,MALAWI
fara,MALAYSIA
fara,MALDIVES
fara,MALI
fara,MALTA
fara,MARSHALL ISLANDS
fara,MAURITANIA
fara,MAURITIUS
fara,MEXICO
fara,MICRONESIA
fara,MOLDOVA
fara,MONACO
fara,MONGOLIA
fara,MONTENEGRO
fara,MONTSERRAT
fara,MOROCCO
fara,MOZAMBIQUE
fara,MUSCAT
fara,MYANMAR (BURMA)
fara,NAGORNO KARABAKH
fara,NAMIBIA
fara,NAURU
fara,NEPAL
fara,NETHERLANDS
fara,NETHERLANDS ANTILLES
fara,NEW CALEDONIA
fara,NEW ZEALAND
fara,NICARAGUA
fara,NIGER
fara,NIGERIA
fara,NORTH MACEDONIA
fara,NORTHERN IRELAND
fara,NORWAY
fara,OMAN
fara,PAKISTAN
fara,PALAU
fara,PALESTINE
fara,PANAMA
fara,PAPUA NEW GUINEA
fara,PARAGUAY
fara,PERU
fara,PHILIPPINES
fara,POLAND
fara,PORTUGAL
fara,PORTUGUESE TIMOR
fara,PUERTO RICO
fara,QATAR
fara,REPUBLIC OF SOUTH SUDAN
fara,ROMANIA
fara,RUSSIA
fara,RWANDA
fara,SAHARAWI ARAB DEMOCRATIC REPUBLIC
fara,SAINT LUCIA
fara,SAINT VINCENT AND THE GRENADINES
fara,SAMOA
fara,SAN MARINO
fara,SAO TOME AND PRINCIPE
fara,SAUDI ARABIA
fara,SCOTLAND
fara,SENEGAL
fara,SERBIA
fara,SEYCHELLES
fara,SIERRA LEONE
fara,SINGAPORE
fara,SLOVAKIA
fara,SLOVENIA
fara,SOMALI DEMOCRATIC REPUBLIC
fara,SOMALIA
fara,SOMALILAND
fara,SOUTH AFRICA
fara,"SOUTH MOLUCCAS, REPUBLIC OF"
fara,SOUTH SUDAN
fara,SOUTHERN YEMAN
fara,SOUTHWEST AFRICA
fara,SPAIN
fara,SPANISH SAHARA
fara,SRI LANKA
fara,ST. BARTHELEMY
fara,ST. EUSTATIUS
fara,ST. KITTS AND NEVIS
fara,ST. MARTIN
fara,SUDAN
fara,SULU AND NORTH BORNEO
fara,SURINAME
fara,SWAZILAND
fara,SWEDEN
fara,SWITZERLAND
fara,SYRIA
fara,TAHITI
fara,TAIWAN
fara,TAJIKISTAN
fara,TANZANIA
fara,THAILAND
fara,TIBET
fara,TIMOR-LESTE
fara,TIMOR-LESTE (EAST TIMOR)
fara,TOGO
fara,TONGA
fara,TRANSKEI
fara,TRINIDAD AND TOBAGO
fara,TUNISIA
fara,TURKEY
fara,TURKMENISTAN
